Dataset: train=1047399 val=116160 vocab=24000 eos=1 val_chars=562970
param tensors: 74
Step 0: train=10.1869, val_ema=2.0727, lr=0.00050, 3.2s elapsed, 3188ms/step
Step 45: train=6.7288, val_ema=1.3810, lr=0.02300, 31.4s elapsed, 682ms/step
Step 90: train=6.2545, val_ema=1.2809, lr=0.02487, 211.7s elapsed, 2326ms/step
Step 135: train=6.0789, val_ema=1.2336, lr=0.02440, 263.1s elapsed, 1935ms/step
Step 180: train=5.8977, val_ema=1.2064, lr=0.02361, 375.5s elapsed, 2074ms/step
Step 225: train=5.7701, val_ema=1.1856, lr=0.02251, 482.2s elapsed, 2134ms/step
Step 270: train=5.6521, val_ema=1.1694, lr=0.02115, 506.5s elapsed, 1869ms/step
Step 315: train=5.4346, val_ema=1.1586, lr=0.01956, 607.6s elapsed, 1923ms/step
Step 360: train=5.3901, val_ema=1.1490, lr=0.01778, 729.7s elapsed, 2021ms/step
